Regularization,Dataset,Metric,Silhouette,BetaCV,DunnIndex
No Regularization,IIT Bombay Dataset,Aouiche,0.1235358,0.5766875,0.1428571
No Regularization,IIT Bombay Dataset,Aligon,0.3173757,0.5354263,0.1
No Regularization,IIT Bombay Dataset,Makiyama,0.13533,0.664748,0.0741799
No Regularization,UB Exam Dataset,Aouiche,0.07935877,0.9231208,0.2
No Regularization,UB Exam Dataset,Aligon,0.1922526,0.7996284,0.5
No Regularization,UB Exam Dataset,Makiyama,0.09405354,0.8968658,0.2301996
No Regularization,PocketData-Google+,Aouiche,0.03618038,0.8934701,0.5
No Regularization,PocketData-Google+,Aligon,0.05981839,0.8982047,0.4375
No Regularization,PocketData-Google+,Makiyama,0.1167357,0.8795412,0.2462216
Naming,IIT Bombay Dataset,Aouiche,0.1669147,0.4963258,0.1666667
Naming,IIT Bombay Dataset,Aligon,0.3684536,0.4733817,0.1
Naming,IIT Bombay Dataset,Makiyama,0.1712637,0.6056812,0.0513167
Naming,UB Exam Dataset,Aouiche,0.1726122,0.8177304,0.1666667
Naming,UB Exam Dataset,Aligon,0.2601396,0.7284204,0.4166667
Naming,UB Exam Dataset,Makiyama,0.2684318,0.6965586,0.08146848
Naming,PocketData-Google+,Aouiche,0.03535551,0.8936538,0.5
Naming,PocketData-Google+,Aligon,0.05941607,0.8983978,0.4375
Naming,PocketData-Google+,Makiyama,0.1127893,0.8855078,0.2462216
Expression Standardization,IIT Bombay Dataset,Aouiche,0.1224014,0.6047874,0.1428571
Expression Standardization,IIT Bombay Dataset,Aligon,0.2969261,0.5542307,0.1
Expression Standardization,IIT Bombay Dataset,Makiyama,0.1363646,0.6599014,0.0741799
Expression Standardization,UB Exam Dataset,Aouiche,0.08419705,0.9225258,0.2
Expression Standardization,UB Exam Dataset,Aligon,0.1345143,0.8627804,0.3888889
Expression Standardization,UB Exam Dataset,Makiyama,0.07635507,0.9195338,0.2600599
Expression Standardization,PocketData-Google+,Aouiche,0.1188399,0.8847059,0.8
Expression Standardization,PocketData-Google+,Aligon,0.09408313,0.8945899,0.5
Expression Standardization,PocketData-Google+,Makiyama,0.1184555,0.8789764,0.3333333
FROM-nested Subquery,IIT Bombay Dataset,Aouiche,0.1092233,0.585477,0.1428571
FROM-nested Subquery,IIT Bombay Dataset,Aligon,0.3074516,0.5325524,0.1
FROM-nested Subquery,IIT Bombay Dataset,Makiyama,0.1645668,0.6473655,0.0741799
FROM-nested Subquery,UB Exam Dataset,Aouiche,0.07851794,0.9240567,0.2
FROM-nested Subquery,UB Exam Dataset,Aligon,0.1927873,0.8029046,0.5
FROM-nested Subquery,UB Exam Dataset,Makiyama,0.1216638,0.8640163,0.1835034
FROM-nested Subquery,PocketData-Google+,Aouiche,0.03618038,0.8934701,0.5
FROM-nested Subquery,PocketData-Google+,Aligon,0.06278822,0.8958551,0.4375
FROM-nested Subquery,PocketData-Google+,Makiyama,0.1155413,0.8813375,0.3333333
UNION Pull-out,IIT Bombay Dataset,Aouiche,0.1255522,0.5773791,0.1428571
UNION Pull-out,IIT Bombay Dataset,Aligon,0.3195686,0.5344027,0.1
UNION Pull-out,IIT Bombay Dataset,Makiyama,0.139807,0.6644235,0.0741799
UNION Pull-out,UB Exam Dataset,Aouiche,0.07935877,0.9231208,0.2
UNION Pull-out,UB Exam Dataset,Aligon,0.1948211,0.7978366,0.5
UNION Pull-out,UB Exam Dataset,Makiyama,0.09405354,0.8968658,0.2301996
UNION Pull-out,PocketData-Google+,Aouiche,0.03618038,0.8934701,0.5
UNION Pull-out,PocketData-Google+,Aligon,0.05955185,0.8985212,0.4375
UNION Pull-out,PocketData-Google+,Makiyama,0.1155413,0.8813375,0.3333333
